Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
75FCMC26F0166,RESEARCH TRIANGLE INSTITUTE,2026-09-23,16163597.0,75FCMC26F0166,NC,DURHAM,27709,DURHAM,R499,SUPPORT- PROFESSIONAL: OTHER,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,,,,,False,False
75FCMC25PJ032,"FIRST DATABANK, INC.",2026-09-23,621000.0,75FCMC25PJ032,CA,SOUTH SAN FRANCISCO,94080,SAN MATEO,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,513199,ALL OTHER PUBLISHERS,,,,,False,False
75FCMC26F0029,PERATON INC.,2026-09-23,0.0,75FCMC26F0029,VA,HERNDON,20170,FAIRFAX,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,,,,False,False
75FCMC21F0003,"C2C INNOVATIVE SOLUTIONS, INC.",2026-09-23,-8426633.93,75FCMC21F0003,FL,JACKSONVILLE,32202,DUVAL,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC22F0128,DEFENSE CONTRACTING INC,2026-09-23,725575.86,75FCMC22F0128,MD,ABERDEEN PROVING GROUND,21005,HARFORD,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
75FCMC21F0067,ACUMEN LLC,2026-09-23,0.0,75FCMC21F0067,CA,BURLINGAME,94010,SAN MATEO,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC25FJ137,SMITHS DETECTION INC.,2026-09-23,20762.22,75FCMC25FJ137,MD,WINDSOR MILL,21244,BALTIMORE,R430,SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,,,,,False,False
75FCMC26F0113,DELOITTE CONSULTING LLP,2026-09-23,166797.33,75FCMC26F0113,VA,ARLINGTON,22209,ARLINGTON,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC26F0125,"PALMETTO GBA, LLC",2026-09-23,1049110.0,75FCMC26F0125,SC,COLUMBIA,29203,RICHLAND,DC01,IT AND TELECOM - DATA CENTER SUPPORT SERVICES (LABOR),518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",,,,,False,False
75FCMC19F0112,DELOITTE CONSULTING LLP,2026-09-23,6045643.79,75FCMC19F0112,VA,ARLINGTON,22209,ARLINGTON,R499,SUPPORT- PROFESSIONAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
75FCMC22F0066,"ICF INCORPORATED, L.L.C.",2026-09-23,179685.6,75FCMC22F0066,MD,WINDSOR MILL,21244,BALTIMORE,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,,,,False,False
75FCMC24F0207,DELOITTE CONSULTING LLP,2026-09-23,4973003.22,75FCMC24F0207,MD,WINDSOR MILL,21244,BALTIMORE,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC18F0087,BOOZ ALLEN HAMILTON INC,2026-09-23,3509661.37,75FCMC18F0087,VA,MCLEAN,22102,FAIRFAX,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC25FJ030,BOOZ ALLEN HAMILTON INC,2026-09-23,1098281.03,75FCMC25FJ030,VA,MCLEAN,22102,FAIRFAX,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75FCMC23F0049,FLEXION INC,2026-09-22,0.0,75FCMC23F0049,MD,BALTIMORE,21217,BALTIMORE CITY,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,,,,False,False
75FCMC25CJ004,NATIONAL COUNCIL FOR PRESCRIPTION DRUG PROGRAMS INC,2026-09-22,0.0,75FCMC25CJ004,MD,WINDSOR MILL,21244,BALTIMORE,B537,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH,813910,BUSINESS ASSOCIATIONS,,,,,False,False
75FCMC19F0003,MATHEMATICA INC.,2026-09-22,0.0,75FCMC19F0003,MD,WINDSOR MILL,21244,BALTIMORE,R499,SUPPORT- PROFESSIONAL: OTHER,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,,,,,False,False
75FCMC22F0004,OMNI FED LLC,2026-09-22,20935.3,75FCMC22F0004,MD,WINDSOR MILL,21244,BALTIMORE,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,,,,False,False
