Recipient Name,Award Amount
"MAXIMUS FEDERAL SERVICES, INC.",640553425.15
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",89451631.55
CARAHSOFT TECHNOLOGY CORP,70112289.25
COMPANION DATA SERVICES LLC,64494896.0
"NORIDIAN HEALTHCARE SOLUTIONS, LLC",60151684.0
COGNOSANTE MVH LLC,58465086.52
QLARANT INTEGRITY SOLUTIONS LLC,57625078.0
SOFTRAMS LLC,55566084.53
"LEIDOS, INC.",53592376.58
WISCONSIN PHYSICIANS SERVICE INSURANCE CORP.,47958063.0
THE MITRE CORPORATION,44689430.0
ACUMEN LLC,36235187.0
SAFEGUARD SERVICES LLC,31362770.86
BOOZ ALLEN HAMILTON INC,29391246.4
"THINK-HIGHPOINT JV, LLC",27286526.0
"PALMETTO GBA, LLC",26643205.41
DATA COMPUTER CORPORATION OF AMERICA,23018291.16
NAVA PBC,22343103.69
PERATON INC.,22099767.42
MATHEMATICA INC.,18549827.86
INDEX ANALYTICS LLC,16933323.4
RESEARCH TRIANGLE INSTITUTE,15687828.46
CORMAC CORPORATION,15356662.88
"TITANIA SOLUTIONS GROUP, INC.",13884349.31
"OHIO KEPRO, LLC",13729196.0
CONRAD LLP,13526258.45
DELOITTE CONSULTING LLP,13417567.42
LIVANTA LLC,13298541.95
"LMI CONSULTING, LLC",12958564.69
I TECH AG LLC,12844978.6
HUMANIT SOLUTIONS LLC,12474236.76
NOVUS TECHNOLOGY PARTNERS INC,12390727.74
"NOVITAS SOLUTIONS, INC.",11745185.0
SAMTEK INC,10699472.219999999
"ODDBALL, INC.",9785088.34
KPMG LLP,9192333.46
"FU ASSOCIATES, LTD.",8509263.31
SEMANTICBITS LLC,8429044.54
ABT GLOBAL LLC,8009725.0
AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,7608302.21
CGI FEDERAL INC.,7447867.43
FLEXION INC,7121206.449999999
"Q2 ADMINISTRATORS, LLC",6818516.22
NATIONAL OPINION RESEARCH CENTER,6813373.6
TISTA SCIENCE AND TECHNOLOGY CORPORATION,6404182.34
"IPG DXTRA, INC.",5998605.71
NIMBUS CONSULTING LLC,5997574.5
IRON VINE SECURITY LLC,5793791.0
NEXTSTEP TECHNOLOGY INC,5664837.0
VITG CORP,5432032.0
SIGNATURE CONSULTING GROUP LLC,5346719.28
DUTY FIRST CONSULTING LLC,4999865.55
GLOBAL ALLIANT INC,4866884.41
REGENTS OF THE UNIVERSITY OF MICHIGAN,4552430.0
"SOLUTIONS BY DESIGN II, LLC",4263693.1
GUIDEHOUSE INC.,4254525.22
"FIRST COAST SERVICE OPTIONS, INC.",4146505.0
"ECONOMETRICA, INC.",4045531.3499999996
YALE NEW HAVEN HEALTH SERVICES CORPORATION,4013907.0
"NOBLIS, INC.",3856983.9
NATIONAL COMMITTEE FOR QUALITY ASSURANCE,3559683.0
"WESTAT, INC.",3557599.0
ARCH SYSTEMS LLC,3272263.92
"L&M POLICY RESEARCH, LLC",3235036.58
REGENTS OF THE UNIVERSITY OF MINNESOTA,3179328.0
RAINMAKERS STRATEGIC SOLUTIONS LLC,3025240.3099999996
BLAND & ASSOCIATES PC,2979732.25
"CHATHAM COMMUNICATIONS JV, LLC",2852969.25
"KEARNEY & COMPANY, P.C.",2686309.78
IOWA HEALTHCARE COLLABORATIVE,2660658.0
"C2C INNOVATIVE SOLUTIONS, INC.",2655593.0
"INSIGHT POLICY RESEARCH, INC.",2632094.0
THE RAND CORPORATION,2551658.0
