Recipient Name,Award Amount
VERIZON BUSINESS NETWORK SERVICES LLC,20393825.08
"AT&T ENTERPRISES, LLC",9659666.83
T-MOBILE SECURE FEDERAL OPERATIONS LLC,6318324.39
BLUESTONE - BURNS & MCDONNELL JV,3967079.55
"TELEDYNE FLIR DEFENSE, INC.",3338540.88
CDM FEDERAL PROGRAMS CORPORATION,1701917.0
"ARCADIS U.S., INC.",1626355.0
FINCANTIERI MARINE REPAIR LLC,1570566.05
"CAPE REMEDIATION, LLC",1460481.62
BOOZ ALLEN HAMILTON INC,1398992.83
"SATCOM DIRECT GOVERNMENT, LLC",1214722.8699999999
ARINC INCORPORATED,864601.8
"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",796410.35
PRISM MARITIME LLC,775568.6
ARAB SHIPBUILDING & REPAIR YARD CO. (ASRY),768916.0
HDR-OBG A JOINT VENTURE,644752.0
LABORATORY CORPORATION OF AMERICA,592754.4
UNIVERSITY OF TEXAS AT AUSTIN,500000.0
"APTIM FEDERAL SERVICES, LLC",498279.62
JACOBS GOVERNMENT SERVICES COMPANY,350000.0
ATT MOBILITY LLC,224691.64
STRATEGIC TECHNOLOGY INSTITUTE INC,197206.94
"SEVENSON ENVIRONMENTAL SERVICES, INC.",125724.17
"HYDROGEOLOGIC, INC.",112044.21
"CONTI FEDERAL SERVICES, LLC",90592.52
GEO CONSULTANTS CORPORATION,87660.0
ECC ENVIRONMENTAL LLC,85899.67
CLARK CONSTRUCTION GROUP LLC,81504.0
SKANSKA USA BUILDING INC,70681.0
"LEVEL 3 COMMUNICATIONS, LLC",38388.45
AEROSTAR ENVIRONMENTAL AND CONSTRUCTION LLC,30000.0
TRACE SYSTEMS INC.,12461.37
AT&T CORP.,0.0
CITY OF BRIDGEPORT,0.0
"TETRA TECH EC, INC.",0.0
"E.K. MANAGEMENT, L.L.C.",0.0
PROCON CONSULTING LLC,0.0
COMCAST GOVERNMENT SERVICES LLC,-3750.0
"BROWN POINT FACILITY MANAGEMENT SOLUTIONS, LLC",-7745.0
WASTE MANAGEMENT OF IDAHO INC,-17983.15
JACOBS ENGINEERING GROUP INC.,-23304.38
VALI COOPER INTERNATIONAL LLC,-89564.48
MANHATTAN TELECOMMUNICATIONS CORPORATION LLC,-128780.21
SES CIVIL AND ENVIRONMENTAL LLC,-196001.61
"HDR ARCHITECTURE, INC",-329290.81
"WIT CONTRACTING OF FRANKLINTON, LLC",-506120.0
