Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
89303923FEM000216,ATTAINX INC.,2026-01-22,0.0,89303923FEM000216,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89503124PWA000741,LACEY BUTLER,2026-01-22,0.0,89503124PWA000741,AZ,PHOENIX,85005,MARICOPA,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,561720,JANITORIAL SERVICES,,,,,False,False
89243126PSC000398,PRENAX INC,2026-01-22,128960.87,89243126PSC000398,TN,OAK RIDGE,37830,ANDERSON,7630,NEWSPAPERS AND PERIODICALS,513120,PERIODICAL PUBLISHERS,,,,,False,False
89233121FNA400387,STREET LEGAL INDUSTRIES LLC,2026-01-22,18521.66,89233121FNA400387,NM,ALBUQUERQUE,87116,BERNALILLO,S205,HOUSEKEEPING- TRASH/GARBAGE COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303923FEM000215,STREET LEGAL INDUSTRIES LLC,2026-01-22,195696.0,89303923FEM000215,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89503023FWA400737,CONTROLLED F.O.R.C.E INC.,2026-01-22,177951.48,89503023FWA400737,CO,LAKEWOOD,80228,JEFFERSON,S206,HOUSEKEEPING- GUARD,611699,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,,,,,False,False
89303923FEM000209,STREET LEGAL INDUSTRIES LLC,2026-01-22,138624.0,89303923FEM000209,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89243126CSC000207,"CHICKASAW SERVICE SOLUTIONS, LLC",2026-01-22,33968.0,89243126CSC000207,OK,NORMAN,73071,CLEVELAND,J063,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),,,,,False,False
89303023FIM000104,"EVOKE RESEARCH AND CONSULTING, LLC",2026-01-22,440000.0,89303023FIM000104,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
89303126FEM400437,SOFTWARE INFORMATION RESOURCE CORP.,2026-01-22,5649.92,89303126FEM400437,KY,LEXINGTON,40513,FAYETTE,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
89303126FEM400438,SOFTWARE INFORMATION RESOURCE CORP.,2026-01-22,6108.49,89303126FEM400438,KY,LEXINGTON,40513,FAYETTE,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
89303324FEM400398,"INALAB CONSULTING, INC.",2026-01-22,500610.63,89303324FEM400398,VA,FAIRFAX,22030,FAIRFAX,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541618,OTHER MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303025CHC000021,"ALEUT TECHNICAL SERVICES, LLC",2026-01-22,233000.0,89303025CHC000021,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303024CHC000020,FREDRICK OAK CONSULTING LLC,2026-01-22,46292.0,89303024CHC000020,MD,HYATTSVILLE,20785,PRINCE GEORGES,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303924FEM400061,DIGITAL CHECK CORP,2026-01-22,0.0,89303924FEM400061,WA,RICHLAND,99352,BENTON,T099,PHOTO/MAP/PRINT/PUBLICATION- OTHER,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,,,,,False,False
89503026PWA000520,MONTANA DAKOTA UTILITIES CO,2026-01-22,0.0,89503026PWA000520,CO,LAKEWOOD,80228,JEFFERSON,X1BZ,LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES,488119,OTHER AIRPORT OPERATIONS,,,,,False,False
89303321CEM000080,"BATTELLE SAVANNAH RIVER ALLIANCE, LLC",2026-01-22,11838340.35,89303321CEM000080,SC,AIKEN,29803,AIKEN,AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",,,,,False,False
89303023FCD000005,BLOOMBERG FINANCE LP,2026-01-22,-21.2,89303023FCD000005,NY,NEW YORK,10022,NEW YORK,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,519190,ALL OTHER INFORMATION SERVICES,,,,,False,False
89233122FNA400454,MELE ASSOCIATES INC,2026-01-22,0.0,89233122FNA400454,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R499,SUPPORT- PROFESSIONAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
89233124FNA400574,PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,2026-01-22,5000.0,89233124FNA400574,CA,PASADENA,91124,LOS ANGELES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
89233124FNA400630,TI VERBATIM CONSULTING INC.,2026-01-22,12494.0,89233124FNA400630,TX,AMARILLO,79120,POTTER,R699,SUPPORT- ADMINISTRATIVE: OTHER,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,,,,,False,False
89233124FNA400580,PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,2026-01-22,0.0,89233124FNA400580,,,,,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
89233124FNA400648,PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,2026-01-22,257552.0,89233124FNA400648,CA,PASADENA,91124,LOS ANGELES,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
89303025FIM000172,AUTONOMIC INTEGRA LLC,2026-01-22,82000.0,89303025FIM000172,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
89303024FMA400847,"HITT CONTRACTING, INC.",2026-01-22,74667.0,89303024FMA400847,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,Z2AB,REPAIR OR ALTERATION OF CONFERENCE SPACE AND FACILITIES,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
89303923CEM000039,HENRY HATHAWAY,2026-01-22,-27216.52,89303923CEM000039,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89233126FNA400744,VECTOR RESOURCE INC,2026-01-22,8000.0,89233126FNA400744,SC,AIKEN,29803,AIKEN,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303026FGC000016,BGRS RELOCATION INC,2026-01-22,20500.0,89303026FGC000016,DC,WASHINGTON,20024,DISTRICT OF COLUMBIA,R499,SUPPORT- PROFESSIONAL: OTHER,531390,OTHER ACTIVITIES RELATED TO REAL ESTATE,,,,,False,False
89303926FEM000385,INDEPENDENT STRATEGIC MANAGEMENT SOLUTIONS INC,2026-01-22,206882.64,89303926FEM000385,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,541620,ENVIRONMENTAL CONSULTING SERVICES,,,,,False,False
89603023F0024,AGILQUEST CORPORATION,2026-01-22,89993.07,89603023F0024,DC,WASHINGTON,20426,DISTRICT OF COLUMBIA,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
