Recipient Name,Award Amount
"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",1046520455.15
"BATTELLE ENERGY ALLIANCE, LLC",815773889.46
UT-BATTELLE LLC,671439396.34
"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",606907245.9
"BECHTEL NATIONAL, INC.",483580149.18999994
"TRIAD NATIONAL SECURITY, LLC",453474369.36
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",414322841.58
BATTELLE MEMORIAL INSTITUTE,404323594.84
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,274223702.34000003
SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,268741742.67
"UCHICAGO ARGONNE, LLC",245063841.98
"HANFORD TANK WASTE OPERATIONS & CLOSURE, LLC",244727998.32
UNITED CLEANUP OAK RIDGE LLC,212544503.76000002
"CONSOLIDATED NUCLEAR SECURITY, LLC",202556919.5
BROOKHAVEN SCIENCE ASSOCIATES LLC,191346952.34
"FERMI FORWARD DISCOVERY GROUP, LLC",179667243.73
"CENTRAL PLATEAU CLEANUP COMPANY, LLC",172451986.67000002
ACCENTURE FEDERAL SERVICES LLC,146608275.57
"ALLIANCE FOR SUSTAINABLE ENERGY, LLC",145119698.59
MISSION SUPPORT & TEST SERVICES LLC,124834039.5
IDAHO ENVIRONMENTAL COALITION LLC,103935105.67999999
"PANTEXAS DETERRENCE, LLC",103518652.78
THE LELAND STANFORD JUNIOR UNIVERSITY,103351128.39
THE TRUSTEES OF PRINCETON UNIVERSITY,97987178.58000001
"SAVANNAH RIVER MISSION COMPLETION, LLC",97064721.77
FLUOR-BWXT PORTSMOUTH LLC,72743474.0
"APTIM FEDERAL SERVICES, LLC",68486668.37
"BWXT ENRICHMENT OPERATIONS, LLC",67000000.0
"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",64180519.57
"BATTELLE SAVANNAH RIVER ALLIANCE, LLC",57706037.660000004
"FLUOR FEDERAL PETROLEUM OPERATIONS, LLC",52561024.22
"RSI ENTECH, LLC",50348927.11
"BWXT ORDNANCE TENNESSEE, INC.",46800000.0
MELE ASSOCIATES INC,36101449.32
"WEST VALLEY CLEANUP ALLIANCE, LLC",35407208.0
"HANFORD MISSION INTEGRATION SOLUTIONS, LLC",34949406.0
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,34270527.83
TECHSOURCE INC,32518349.36
CMA TECHNOLOGY INC,32262027.46
QAYAQ GOVERNMENT SOLUTIONS LLC,31488736.17
"LEIDOS, INC.",30179700.48
"NAVARRO RESEARCH AND ENGINEERING, INC.",27772284.42
"MID-AMERICA CONVERSION SERVICES, LLC",25244177.97
SOUTHERN OHIO CLEANUP COMPANY LLC,23775066.6
ISOTEK SYSTEMS LLC,23328923.76
"NORTH WIND PORTAGE, INC.",23164838.34
CARAHSOFT TECHNOLOGY CORP,22324466.520000003
"JEFFERSON SCIENCE ASSOCIATES, LLC",21827369.38
PARSONS GOVERNMENT SERVICES INTERNATIONAL INC.,19110500.94
"CRITERION SYSTEMS, L.L.C.",17718485.48
"WASEYABEK FEDERAL SERVICES, L.L.C.",16410280.0
"KEYLOGIC, LLC",16407047.0
"EAGLE HARBOR, LLC",15868750.36
