Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
68HE0124F0031,ENVIRONMENTAL RESTORATION LLC,2026-09-23,578108.96,68HE0124F0031,MA,HYDE PARK,02136,SUFFOLK,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562910,REMEDIATION SERVICES,,,,,False,False
68HE0423F0061,ENVIRONMENTAL RESTORATION LLC,2026-09-23,3000000.0,68HE0423F0061,GA,ATLANTA,30303,FULTON,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562910,REMEDIATION SERVICES,,,,,False,False
68HERW26F0246,RESEARCH TRIANGLE INSTITUTE,2026-09-23,649000.0,68HERW26F0246,NC,DURHAM,27709,DURHAM,AJ12,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",,,,,False,False
68HE0923F0061,"TETRA TECH, INC.",2026-09-23,38957.07,68HE0923F0061,AZ,WINDOW ROCK,86515,APACHE,B510,SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS,541620,ENVIRONMENTAL CONSULTING SERVICES,,,,,False,False
68HERW26F0227,"SPECPRO SUSTAINMENT AND ENVIRONMENTAL, LLC",2026-09-23,193855.43,68HERW26F0227,MN,DULUTH,55804,SAINT LOUIS,AH51,NATURAL RESOURCES AND ENVIRONMENT R&D SERVICES; OTHER NATURAL RESOURCES; BASIC RESEARCH,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",,,,,False,False
68HE0326F0118,CDM FEDERAL PROGRAMS CORPORATION,2026-09-23,4715768.0,68HE0326F0118,NY,NEW YORK,10001,NEW YORK,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562910,REMEDIATION SERVICES,,,,,False,False
68HE0122F0002,"ATIGUN GROUP, INC.",2026-09-23,204242.97,68HE0122F0002,MA,WOBURN,01801,MIDDLESEX,M1GZ,OPERATION OF OTHER WAREHOUSE BUILDINGS,561210,FACILITIES SUPPORT SERVICES,,,,,False,False
68HE0926F0084,CPM ENTERPRISES LLC,2026-09-23,15087.45,68HE0926F0084,CA,SAN FRANCISCO,94105,SAN FRANCISCO,DH10,"IT AND TELECOM - PLATFORM AS A SERVICE: DATABASE, MAINFRAME, MIDDLEWARE",541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
68HE0325F0105,"BLUESTONE ENVIRONMENTAL GROUP, INC.",2026-09-23,0.0,68HE0325F0105,PA,MALVERN,19355,CHESTER,F999,OTHER ENVIRONMENTAL SERVICES,541620,ENVIRONMENTAL CONSULTING SERVICES,,,,,False,False
68HERW26F0037,THE CADMUS GROUP LLC,2026-09-23,172307.0,68HERW26F0037,MA,WALTHAM,02451,MIDDLESEX,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
68HE0924F0101,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",2026-09-23,0.0,68HE0924F0101,CA,SAN JOSE,95112,SANTA CLARA,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562910,REMEDIATION SERVICES,,,,,False,False
68HE0326F0137,FISHER SCIENTIFIC COMPANY L.L.C.,2026-09-23,134663.7,68HE0326F0137,PA,MARCUS HOOK,19061,DELAWARE,6630,CHEMICAL ANALYSIS INSTRUMENTS,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,,,,,False,False
68HE0626F0028,"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",2026-09-23,325012.08,68HE0626F0028,OK,BRISTOW,74010,CREEK,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,562910,REMEDIATION SERVICES,,,,,False,False
68HERC24F0526,"AMENTUM TECHNOLOGY, INC.",2026-09-23,60000.0,68HERC24F0526,MI,ANN ARBOR,48105,WASHTENAW,H399,INSPECTION- MISCELLANEOUS,541330,ENGINEERING SERVICES,,,,,False,False
68HE0726C0006,LOCG LLC,2026-09-23,500000.0,68HE0726C0006,WA,SEATTLE,98101,KING,M1AZ,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,561210,FACILITIES SUPPORT SERVICES,,,,,False,False
68HE0120F0044,"NOBIS ENGINEERING, INC",2026-09-23,83862.69,68HE0120F0044,RI,NORTH KINGSTOWN,02852,WASHINGTON,F999,OTHER ENVIRONMENTAL SERVICES,562910,REMEDIATION SERVICES,,,,,False,False
68HE0623F0011,ARROW MOVING & STORAGE OF COLORADO INC,2026-09-23,-147.0,68HE0623F0011,TX,DALLAS,75270,DALLAS,R699,SUPPORT- ADMINISTRATIVE: OTHER,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,,,,,False,False
68HE0625F0005,ARROW MOVING & STORAGE OF COLORADO INC,2026-09-23,-64065.1,68HE0625F0005,TX,DALLAS,75270,DALLAS,R699,SUPPORT- ADMINISTRATIVE: OTHER,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,,,,,False,False
68HERL26P0331,PEAK SCIENTIFIC INC,2026-09-23,27851.95,68HERL26P0331,MA,WESTFORD,01886,MIDDLESEX,6632,"ANALYSIS INSTRUMENTS, MEDICAL LABORATORY USE",334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,,,,,False,False
68HERW26F0257,FLORIDA ARMOR LLC,2026-09-23,37138.5,68HERW26F0257,DC,WASHINGTON,20004,DISTRICT OF COLUMBIA,8470,"ARMOR, PERSONAL",315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,,,,,False,False
