Recipient Name,Award Amount
ENVIRONMENTAL RESTORATION LLC,111580243.37
"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",47457257.89
"HYDROGEOLOGIC, INC.",35897001.75
"CH2M HILL, INC",24429610.69
"AECOM TECHNICAL SERVICES, INC.",21737841.990000002
EASTERN RESEARCH GROUP INC,16027345.58
"TETRA TECH, INC.",14416929.59
CDM FEDERAL PROGRAMS CORPORATION,13964156.02
WESTON SOLUTIONS INC,13407163.53
"ARROWHEAD CONTRACTING, LLC",12982029.15
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",12250992.34
PARAGON PROFESSIONAL SERVICES LLC,9397515.870000001
"ENVIRONMENTAL QUALITY MANAGEMENT, INC",9321184.35
JACOBS ENGINEERING GROUP INC.,8793668.08
"A AND M ENGINEERING & ENVIRONMENTAL SERVICES, INC",8619288.13
"KEMRON ENVIRONMENTAL SERVICES, INC.",8291677.529999999
"C M C, INC.",6373907.0
"FIDELIS-BBD, LLC",6030014.88
"AGILE DECISION SCIENCES, LLC",5894981.61
MCP COMPUTER PRODUCTS INC,5881912.52
"ICF INCORPORATED, L.L.C.",5617415.2
"KEMRON/ARROWHEAD JV, LLC",5218875.05
"ENVIRONMENTAL MANAGEMENT SUPPORT, INC",4526106.0200000005
THE CADMUS GROUP LLC,4377618.08
WSP USA ENVIRONMENT & INFRASTRUCTURE INC.,4198649.05
"CONTI FEDERAL SERVICES, LLC",4071504.22
SYSTALEX CORPORATION,3678723.12
WESTON-TECHLAW JV LLC,3551903.19
BONNER ANALYTICAL TESTING CO,3500000.0
"CHEMTEX ENVIRONMENTAL LABORATORY, INC.",3500000.0
TETRA TECH INC,2376671.7800000003
"OTIE-PWT JV, LLC",2346218.75
"SKEO SOLUTIONS, INC.",2332105.0
TECHLAW CONSULTANTS INC,2324586.65
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2314760.09
SRC INC,2225540.8899999997
ABT GLOBAL LLC,2107519.59
"VALIANT SOLUTIONS, LLC",2000000.0
"GREAT LAKES ENVIRONMENTAL CENTER, INC",1843619.8
"ALEUT TECHNICAL SERVICES, LLC",1816197.2799999998
"SPECPRO SUSTAINMENT AND ENVIRONMENTAL, LLC",1812018.1199999999
CGI FEDERAL INC.,1749520.2699999998
BATTELLE MEMORIAL INSTITUTE,1670477.72
"ATIGUN GROUP, INC.",1650053.1300000001
HELIOTECH,1529630.06
"AT&T ENTERPRISES, LLC",1500000.0
"CARDINAL POINT CAPTAINS, INC.",1500000.0
"MAXIMUS FEDERAL CONSULTING, LLC",1430700.69
DAYCOM LLC,1400019.1800000002
"ENDYNA, INC.",1400000.0
RESEARCH TRIANGLE INSTITUTE,1396302.28
LINTECH GLOBAL INC,1296760.77
RURAL COMMUNITY ASSISTANCE CORPORATION,1256298.36
CENTENNIAL TECHNOLOGIES INC,1255585.35
"S.S. PAPADOPULOS & ASSOCIATES, INC.",1239175.86
"PEGASUS TECHNICAL SERVICES, INC",1228501.37
"BASHA SERVICES, LLC",1225000.0
"ZOLON PCS II, LLC",1223188.57
NATIVE ENERGY & TECHNOLOGY INC,1170128.8199999998
"CAPE FEAR ANALYTICAL, LLC",1166516.15
HDR APTIM LLC,1126801.55
DATA SYSTEMS ANALYSTS INC,1120879.49
VGS INFRASTRUCTURE SERVICES INC,1117127.06
"I DESIGN AND PLANNING, LLC",1092076.3399999999
"SUGPIAT DEFENSE, LLC",1006191.74
"DAWSON-HDR SERVICES JV, LLC",993194.7999999999
"VMD SYSTEMS INTEGRATORS, LLC",959000.0
"LAVASTIDA DEVELOPMENT GROUP, L.L.C",933768.88
SERCO INC,898742.73
"NOBIS ENGINEERING, INC",873244.28
AGILENT TECHNOLOGIES INC,871064.84
CDM A JOINT VENTURE,867490.12
AVANTI CORPORATION,852465.0399999999
"GERLING & ASSOCIATES, INC.",849900.0
INDUSTRIAL ECONOMICS INC,819717.84
"INTEGRIWARD, LLC",819708.12
"PLATEAU SOFTWARE, INC.",808804.3
TRUST CONSULTING SERVICES INC.,791583.2000000001
INTEPROS FEDERAL INCORPORATED,775642.5700000001
"ALETO, INC.",758956.75
"VERACITY CONSULTING, INC.",739540.27
"THE NORTHBRIDGE GROUP, INC.",737135.0900000001
KENNEY BUSINESS SOLUTIONS INC,725116.0
WILSON 5 SERVICE CO INC,720966.0
TELEDYNE FLIR COMMERCIAL SYSTEMS INC.,720965.0
"MPF FEDERAL, LLC",715139.85
CORITY SOFTWARE INC.,713582.85
"CAPE FOX ENDEAVOR, LLC",690525.35
"COMPTECH COMPUTER TECHNOLOGIES, INC",687670.92
DYNAMIC WALLCOVERING LLC,633920.0
THERMO ELECTRON NORTH AMERICA LLC,629211.53
"DDC 4C, LLC",625002.0
"CHENEGA SERVICES & FEDERAL SOLUTIONS, LLC",616124.61
CONSOLIDATED SAFETY SERVICES INCORPORATED,614465.3200000001
KYNETEC USA INC,610203.0
BOOZ ALLEN HAMILTON INC,601292.76
SOUTHWEST RESEARCH INSTITUTE,593875.0900000001
GOVERNMENT SCIENTIFIC SOURCE INC,587314.83
"BLUESTONE ENVIRONMENTAL GROUP, INC.",579814.96
C MARTIN CO INC,573390.03
DELL FEDERAL SYSTEMS L.P,570803.15
"FEDERAL PRISON INDUSTRIES, INC",569196.24
"LEIDOS, INC.",560000.0
"BIOSPYDER TECHNOLOGIES, INC.",541533.39
CASO LOGZONE LLC,523173.18
"AMENTUM TECHNOLOGY, INC.",517076.84
"JOHNSON CONTROLS, INC",511520.0
"PB&A/CSS JV, LLC.",509607.0
"LEISNOI DIVERSIFIED-KEMRON 8A JV, LLC",487118.61
"OBSIDIAN GLOBAL, LLC",478562.39
"KONIAG IT SYSTEMS, LLC",475000.0
"REDHAWK IT SOLUTIONS, LLC",450131.21
"HORSLEY WITTEN GROUP, INC.",445625.11
THE REMI GROUP LLC,426318.7
HAZTRAIN INC,425576.0
"TRUETANDEM, LLC",417388.95999999996
"GOODWILL INDUSTRIES OF THE CHESAPEAKE, INC",414453.2
"ARCHANGEL PROTECTIVE SERVICES, INC.",414294.83999999997
PARS ENVIRONMENTAL INC,404470.13999999996
"GOVERNMENT MARKETING AND PROCUREMENT, LLC",403594.84
EQ & CH REMEDIATION,399659.37
EISENSTEIN MALANCHUK LLP,389672.64
"TUKUH TECHNOLOGIES, LLC",372449.35000000003
"ABM FEDERAL SALES, INC.",371345.75
DSTA LLC,371106.9
WATERS TECHNOLOGIES CORPORATION,360182.89
ARBILL INDUSTRIES INC,359295.68
GUARDIAN ENVIRONMENTAL SERVICES CO INC,350000.0
MERP SYSTEMS INC,343686.4
NEXTECH LINTECH LLC,337000.0
"BABCOCK LABORATORIES, INC.",335000.0
"WECK ANALYTICAL ENVIRONMENTAL SERVICES, INC.",335000.0
"EUROFINS EATON ANALYTICAL, LLC",335000.0
EUROFINS EATON ANALYTICAL LLC,335000.0
"EASTEX ENVIRONMENTAL LABORATORY, INC",335000.0
NORTHERN LAKE SERVICE INC.,335000.0
REVIVE STRATEGIES LLC,334285.94
"EQM SERVICES, LLC",330823.65
CLEARPATH CONSULTANTS JV,327446.03
OCH JV,325762.35
THOMAS & REED LLC,325008.8
"APTIM FEDERAL SERVICES, LLC",324721.45999999996
"JEOL USA, INC.",322375.87
ACCESS INTERPRETING INC,316466.64
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,315080.87
WITS SOLUTIONS INC.,299669.76
"TTW SOLUTIONS, INC.",291000.0
"HARPY TECHNOLOGIES, LLC",289452.0
CHEROKEE NATION SYSTEM SOLUTIONS LLC,288928.38
STEELCASE INC.,288509.32
"EAP CONSULTANTS, LLC",288020.0
"EUROFINS DISCOVERY SERVICES NORTH AMERICA, LLC",287350.08
"GARUD TECHNOLOGY SERVICES, INC.",287000.0
"J. F. BRENNAN COMPANY, INC.",284400.0
"AIRGAS USA, LLC",272800.0
"MG FACILITY SERVICES, LLC",264664.03
STRATEGIX MANAGEMENT LLC,249927.0
WASTE CONTROL SPECIALISTS LLC,247128.32
ACT SERVICES CORP,241650.0
BUCHAN EDNA,229015.0
UNISON VIRTUAL ACQUISITION OFFICE LLC,226008.9
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",224301.54
DATAWIZ CORPORATION,219213.0
MUSE TECHNOLOGIES INC,217241.22
VERSAR-WSP JV,211270.16
"TEHAMA ENVIRONMENTAL CONSULTING SERVICES, LLC",209678.82
"DEFENSE CONTRACTING ACTIVITY, LLC",209083.92
PN AUTOMATION INC,208742.4
"SAVAN GROUP, LLC",201263.8
CAPITAL RELOCATION SERVICES L.L.C.,199128.0
"NOBIS ENTERPRISES, INC.",192355.47
TRC ENVIRONMENTAL CORP,189950.0
"WINGSWEPT, LLC",185936.93
JWMG MANAGEMENT GROUP LLC,185113.22
SAFEWARE INC,183591.91999999998
