Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
75N95024F00093,GUIDEHOUSE DIGITAL LLC,2026-09-23,62964.0,75N95024F00093,MD,BETHESDA,20892,MONTGOMERY,R499,SUPPORT- PROFESSIONAL: OTHER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,,,False,False
75N95024P00077,FROM THE LAB BENCH LLC,2026-09-23,-594.56,75N95024P00077,LA,BATON ROUGE,70808,EAST BATON ROUGE,R499,SUPPORT- PROFESSIONAL: OTHER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,,,False,False
75N98026F00021,GUIDEHOUSE DIGITAL LLC,2026-09-23,1210514.14,75N98026F00021,MD,ROCKVILLE,20852,MONTGOMERY,R499,SUPPORT- PROFESSIONAL: OTHER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,,,False,False
75N93026F00002,UTAH STATE UNIVERSITY,2026-09-23,250324.0,75N93026F00002,UT,LOGAN,84322,CACHE,AN11,HEALTH R&D SERVICES; HEALTH CARE SERVICES; BASIC RESEARCH,541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),,,,,False,False
75N99026C00033,"HARPY CONSTRUCTION 2 JV, LLC",2026-09-23,1530559.63,75N99026C00033,MD,BETHESDA,20892,MONTGOMERY,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
75N98026P00259,RISTECH CO INC,2026-09-23,0.0,75N98026P00259,MD,BETHESDA,20892,MONTGOMERY,J074,MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT,811210,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,,,,,False,False
75N99026F00003,"AFFILIATED ENGINEERS METRO DC, INC.",2026-09-23,62453.19,75N99026F00003,MD,BETHESDA,20892,MONTGOMERY,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
75N99026F00012,"TREON SUPPORT SERVICES JV, LLC",2026-09-23,38436.15,75N99026F00012,MD,BETHESDA,20892,MONTGOMERY,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
75N98026F00005,"MID-ATLANTIC SERVICES GROUP, INC.",2026-09-23,50000.0,75N98026F00005,MD,BETHESDA,20892,MONTGOMERY,M1LZ,OPERATION OF PARKING FACILITIES,812930,PARKING LOTS AND GARAGES,,,,,False,False
75N99026F00003,"AFFILIATED ENGINEERS METRO DC, INC.",2026-09-23,56685.4,75N99026F00003,MD,BETHESDA,20892,MONTGOMERY,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
75N98023C00018,AMERICAN SOCIETY FOR HEALTH CRM,2026-09-23,25000.0,75N98023C00018,DC,WASHINGTON,20001,DISTRICT OF COLUMBIA,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
