Recipient Name,Award Amount
CLARK CONSTRUCTION GROUP LLC,14166828.0
VERIZON BUSINESS NETWORK SERVICES LLC,10779009.37
"AT&T ENTERPRISES, LLC",10371838.19
T-MOBILE SECURE FEDERAL OPERATIONS LLC,8198173.47
WSP USA SOLUTIONS INC,5629249.0
HDR-OBG A JOINT VENTURE,2150000.0
"ARCADIS U.S., INC.",1800000.0
BAHRAIN SHIP REPAIRING & ENGINEERING CO.,1713709.0
CDM FEDERAL PROGRAMS CORPORATION,1693266.35
"SEVENSON ENVIRONMENTAL SERVICES, INC.",1631446.2
THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,1621000.0
PRISM MARITIME LLC,1242616.51
ARAB SHIPBUILDING & REPAIR YARD CO. (ASRY),951457.0
GEO CONSULTANTS CORPORATION,783375.0
"CAPE REMEDIATION, LLC",669601.91
JACOBS GOVERNMENT SERVICES COMPANY,588625.38
"TETRA TECH, INC.",588243.11
"SATCOM DIRECT GOVERNMENT, LLC",585097.56
ECC ENVIRONMENTAL LLC,442724.92
"TELEDYNE FLIR DEFENSE, INC.",383837.51
"HYDROGEOLOGIC, INC.",372497.49
SKANSKA USA CIVIL NORTHEAST INC,325002.0
ATT MOBILITY LLC,318292.8
"BRICE BUILDERS, LLC",306550.39
"CONTI FEDERAL SERVICES, LLC",255109.9
GE RENEWABLES US LLC,250617.5
"INMARSAT GOVERNMENT, INC.",230276.55
GARCO WEMCO A JOINT VENTURE,182650.0
PARSONS GOVERNMENT SERVICES INC.,145612.0
"NEW TECH SOLUTIONS, INC.",144390.59
ARINC INCORPORATED,137941.6
"IDEA INDUCTION, LLC",132900.0
SKANSKA USA BUILDING INC,88025.0
"AOC CONNECT, LLC",84601.85
SDV E&C JV,74074.0
ACHUTI LLC,63854.2
"DATACAMP, INC.",63750.0
COMCAST GOVERNMENT SERVICES LLC,59474.990000000005
PACIFIC TECH CONSTRUCTION INC,52441.0
MRS PUMPCO LLC,47108.0
CARAHSOFT TECHNOLOGY CORP,36822.0
TARAZI LLC,36480.0
TRACE SYSTEMS INC.,35164.92
ENVIRONMENTAL CONSTRUCTION CORP.,35000.0
CIVIL BUILT LLC,33519.85
VERTICAL OPTIONS LLC,31091.0
B & H INTERNATIONAL LLC,31025.06
DIVERSE SOLUTIONS GROUP INC.,28320.0
EMPRESA DE CONSTRUCCION Y TRANSPORTE ETERNA S.A. DE C.V.,20880.63
COASTAL ENTERPRISES OF JACKSONVILLE INC,17028.71
"ZIPPY DISPOSAL SERVICE, INC.",14471.8
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",14395.0
"WIT CONTRACTING OF FRANKLINTON, LLC",6500.0
"BRIDGE DIAGNOSTICS, INC.",6220.0
VETS-ERRG JV LLC,4783.35
CANADIAN COMMERCIAL CORPORATION,0.0
ENVIROS LLC,0.0
WASEYABEK-CTI ENVIRONMENTAL SERVICES JV LLC,0.0
RAYTHEON COMPANY,0.0
"OLSSON INDUSTRIAL ELECTRIC, INC",0.0
"DOMINGUEZ DESIGN-BUILD, INC",0.0
BOOZ ALLEN HAMILTON INC,0.0
"BRAVO, INC.",0.0
CLEAR CLOUD SOLUTIONS INC.,0.0
BATES ENGINEERS/CONTRACTORS INC,0.0
"URS GROUP, INC.",0.0
"ADANTA, INC.",-2358.96
THDR JOINT VENTURE,-51316.77
JACOBS ENGINEERING GROUP INC.,-64783.87
ACT SERVICES LLC,-89034.81
TECHLAW CONSULTANTS INC,-97952.6
TETRA TECH INC,-101363.27
AT&T CORP.,-488425.54
