Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
89303724CEM000016,SAMUEL D FINK,2025-09-15,0.0,89303724CEM000016,SC,LEXINGTON,29072,LEXINGTON,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,,,,,False,False
89303924FEM400054,"CENTRAL PLATEAU CLEANUP COMPANY, LLC",2025-09-15,0.0,89303924FEM400054,WA,RICHLAND,99352,BENTON,Z1PD,MAINTENANCE OF WASTE TREATMENT AND STORAGE FACILITIES,562910,REMEDIATION SERVICES,,,,,False,False
89303924FEM400059,"CENTRAL PLATEAU CLEANUP COMPANY, LLC",2025-09-15,0.0,89303924FEM400059,WA,RICHLAND,99352,BENTON,Z1PD,MAINTENANCE OF WASTE TREATMENT AND STORAGE FACILITIES,562910,REMEDIATION SERVICES,,,,,False,False
89303024CHC000020,FREDRICK OAK CONSULTING LLC,2025-09-15,37606.0,89303024CHC000020,MD,HYATTSVILLE,20785,PRINCE GEORGES,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89233120FNA400310,TECHSOURCE INC,2025-09-15,373585.0,89233120FNA400310,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R499,SUPPORT- PROFESSIONAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
89243325PFE000838,NICK CHORAK MOWING & TILLING,2025-09-15,0.0,89243325PFE000838,OR,ALBANY,97321,LINN,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,,,,,False,False
89303020FET400017,"POTOMACWAVE CONSULTING, INC.",2025-09-15,10000.0,89303020FET400017,DC,WASHINGTON,20001,DISTRICT OF COLUMBIA,R699,SUPPORT- ADMINISTRATIVE: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
89503022CWA000019,"UTILITIES INTERNATIONAL, INC.",2025-09-15,-189536.0,89503022CWA000019,CO,LAKEWOOD,80228,JEFFERSON,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,511210,SOFTWARE PUBLISHERS,,,,,False,False
89503022CWA000019,"UTILITIES INTERNATIONAL, INC.",2025-09-15,154592.0,89503022CWA000019,CO,LAKEWOOD,80228,JEFFERSON,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,511210,SOFTWARE PUBLISHERS,,,,,False,False
89303325CEM000140,CATAWBA TEAPEC LLC,2025-09-15,1010000.0,89303325CEM000140,SC,ROCK HILL,29730,YORK,F999,OTHER ENVIRONMENTAL SERVICES,562910,REMEDIATION SERVICES,,,,,False,False
89303022CET000015,ANALYTIC ADVANTAGE INC,2025-09-15,18092.0,89303022CET000015,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,U014,EDUCATION/TRAINING- SECURITY,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,,,,,False,False
89303724CEM000014,FOX ROTHSCHILD LLP,2025-09-15,0.0,89303724CEM000014,PA,PHILADELPHIA,19103,PHILADELPHIA,R418,SUPPORT- PROFESSIONAL: LEGAL,541110,OFFICES OF LAWYERS,,,,,False,False
89233122FNA400408,"CE2 CORPORATION, INC.",2025-09-15,53367.99,89233122FNA400408,NM,ALBUQUERQUE,87185,BERNALILLO,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89243525FCR400072,VALI COOPER INTERNATIONAL LLC,2025-09-15,60610.2,89243525FCR400072,LA,NEW ORLEANS,70123,JEFFERSON,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
89303025FLP400066,ARCHETYPE III LLC,2025-09-15,-207054.46,89303025FLP400066,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303024FIM000146,ACCENTURE FEDERAL SERVICES LLC,2025-09-15,0.0,89303024FIM000146,DC,WASHINGTON,20223,DISTRICT OF COLUMBIA,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
89303025FIM000170,ACCENTURE FEDERAL SERVICES LLC,2025-09-15,310454.73,89303025FIM000170,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
DEBP0005448,CRI ADVANTAGE INC,2025-09-15,-10888.44,DEBP0005448,CO,LAKEWOOD,80228,JEFFERSON,R499,SUPPORT- PROFESSIONAL: OTHER,541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
89503324PWA000363,CROWN TECHNICAL SYSTEMS,2025-09-15,0.0,89503324PWA000363,CA,FOLSOM,95630,SACRAMENTO,5410,PREFABRICATED AND PORTABLE BUILDINGS,332311,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,,,,,False,False
89303025CET000023,GOLDEN TECH SYSTEMS INC,2025-09-15,0.0,89303025CET000023,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,L063,"TECHNICAL REPRESENTATIVE- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),,,,,False,False
89303924FEM000252,"KATMAI INTEGRATED SOLUTIONS, LLC",2025-09-15,175756.8,89303924FEM000252,WA,RICHLAND,99354,BENTON,R699,SUPPORT- ADMINISTRATIVE: OTHER,561210,FACILITIES SUPPORT SERVICES,,,,,False,False
89243224FEM400020,SIGMA SCIENCE INC,2025-09-15,324644.0,89243224FEM400020,NM,ALBUQUERQUE,87110,BERNALILLO,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541330,ENGINEERING SERVICES,,,,,False,False
89243224FNE400148,SIGMA SCIENCE INC,2025-09-15,0.0,89243224FNE400148,NM,ALBUQUERQUE,87110,BERNALILLO,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541330,ENGINEERING SERVICES,,,,,False,False
89503225PWA000536,"BSE PERFORMANCE, LLC",2025-09-15,0.0,89503225PWA000536,AZ,PEORIA,85383,MARICOPA,5450,MISCELLANEOUS PREFABRICATED STRUCTURES,321114,WOOD PRESERVATION,,,,,False,False
89503425FWA401781,HUGHES BROTHERS INC,2025-09-15,188340.55,89503425FWA401781,NE,SEWARD,68434,SEWARD,5510,LUMBER AND RELATED BASIC WOOD MATERIALS,321215,ENGINEERED WOOD MEMBER MANUFACTURING,,,,,False,False
89303019CCR000004,"BCS ALLEGIENT, INC.",2025-09-15,-5000.0,89303019CCR000004,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
89303020CEA000004,UNWIN CO,2025-09-15,186483.6,89303020CEA000004,OH,COLUMBUS,43212,FRANKLIN,B546,SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL),541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,,,False,False
89243325FFE400652,"MAXIMUS FEDERAL SERVICES, INC.",2025-09-15,500000.0,89243325FFE400652,WV,MORGANTOWN,26501,MONONGALIA,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
89503324CWA000050,"HANKINS GROUP, INC.",2025-09-15,80000.0,89503324CWA000050,CA,FOLSOM,95630,SACRAMENTO,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
89503225FWA400717,RELX INC,2025-09-15,31872.0,89503225FWA400717,OH,MIAMISBURG,45342,MONTGOMERY,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),511120,PERIODICAL PUBLISHERS,,,,,False,False
89503223FWA000133,LONGLAND CORP,2025-09-15,-466.0,89503223FWA000133,CO,LOVELAND,80538,LARIMER,4910,MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,,,,,False,False
89503425FWA401780,G & RK CONSULTING ASSOCIATES LLC,2025-09-15,395193.0,89503425FWA401780,CO,ENGLEWOOD,80112,ARAPAHOE,5925,CIRCUIT BREAKERS,335313,SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,,,,,False,False
89503118FWA400106,RIVIDIUM INC.,2025-09-15,-108087.03,89503118FWA400106,AZ,PHOENIX,85009,MARICOPA,R699,SUPPORT- ADMINISTRATIVE: OTHER,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",,,,,False,False
89503225FWA400718,"ALL AMERICAN TRAILER CONNECTION ,INC.",2025-09-15,32937.56,89503225FWA400718,FL,PALM SPRINGS,33461,PALM BEACH,2330,TRAILERS,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,,,,,False,False
89303019FMA400201,LONGENECKER & ASSOCIATES INC,2025-09-15,423213.07,89303019FMA400201,DC,WASHINGTON,20585,DISTRICT OF COLUMBIA,R499,SUPPORT- PROFESSIONAL: OTHER,541330,ENGINEERING SERVICES,,,,,False,False
