Recipient Name,Award Amount
ENVIRONMENTAL RESTORATION LLC,60532533.730000004
"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",22378569.73
S C & A INC,20188409.02
"TETRA TECH, INC.",18965359.94
WESTON SOLUTIONS INC,16609201.47
"HYDROGEOLOGIC, INC.",13654089.780000001
"ARROWHEAD CONTRACTING, LLC",12948349.19
"CHENEGA IT ENTERPRISE SERVICES, LLC",12568135.18
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",11693773.39
"ENVIRONMENTAL QUALITY MANAGEMENT, INC",11185232.709999999
"CH2M HILL, INC",9729307.23
"A AND M ENGINEERING & ENVIRONMENTAL SERVICES, INC",8619288.13
EASTERN RESEARCH GROUP INC,8249288.92
CDM FEDERAL PROGRAMS CORPORATION,7141046.82
"ICF INCORPORATED, L.L.C.",6933762.4
"KEMRON ENVIRONMENTAL SERVICES, INC.",6516677.53
PARAGON PROFESSIONAL SERVICES LLC,6106942.75
"FIDELIS-BBD, LLC",6030014.88
MCP COMPUTER PRODUCTS INC,5881912.52
THE CADMUS GROUP LLC,5404465.66
WESTON-TECHLAW JV LLC,5308453.95
"AECOM TECHNICAL SERVICES, INC.",4992404.21
WSP USA ENVIRONMENT & INFRASTRUCTURE INC.,4959926.35
"AGILE DECISION SCIENCES, LLC",4929986.0200000005
"ENDYNA, INC.",4545389.09
"C M C, INC.",4402347.62
RESEARCH TRIANGLE INSTITUTE,4146804.98
"CONTI FEDERAL SERVICES, LLC",4036859.6500000004
"CARDINAL POINT CAPTAINS, INC.",3701385.0
ABT GLOBAL LLC,3655037.2
CONSOLIDATED SAFETY SERVICES INCORPORATED,3109748.58
"UNIVERSITY OF CALIFORNIA, DAVIS",2768107.4
"SKEO SOLUTIONS, INC.",2574980.0
"GREAT LAKES ENVIRONMENTAL CENTER, INC",2565103.0
BOOZ ALLEN HAMILTON INC,2488018.74
CGI FEDERAL INC.,2370368.8600000003
SYSTALEX CORPORATION,2338450.23
DATAWIZ CORPORATION,2199807.64
"OTIE-PWT JV, LLC",2118982.33
"VALIANT SOLUTIONS, LLC",2000000.0
TETRA TECH INC,1926281.31
"GROT, INC.",1864818.0
"TOEROEK ASSOCIATES, INC.",1757799.48
"ENVIRONMENTAL MANAGEMENT SUPPORT, INC",1705035.01
JACOBS ENGINEERING GROUP INC.,1656868.56
"SAVAN GROUP, LLC",1625346.15
CENTENNIAL TECHNOLOGIES INC,1611699.58
"ALEUT TECHNICAL SERVICES, LLC",1605324.8399999999
HELIOTECH,1452646.4300000002
ARLLUK TECHNOLOGY SOLUTIONS LLC,1439028.31
"ATIGUN GROUP, INC.",1429067.19
CDM A JOINT VENTURE,1403914.48
"AT&T ENTERPRISES, LLC",1400000.0
AJANTA CONSULTING LLC,1398091.04
TECHLAW CONSULTANTS INC,1382220.51
WILSON 5 SERVICE CO INC,1293800.0
BATTELLE MEMORIAL INSTITUTE,1223566.44
"ZOLON PCS II, LLC",1223560.47
DATA SYSTEMS ANALYSTS INC,1221255.8599999999
DELL FEDERAL SYSTEMS L.P,1217651.15
OCH JV,1151733.3900000001
TRUST CONSULTING SERVICES INC.,1119812.01
"I DESIGN AND PLANNING, LLC",1117375.19
"T-MOBILE USA, INC.",1113473.35
SERCO INC,1090205.65
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",999293.6900000001
NATIVE ENERGY & TECHNOLOGY INC,985156.82
"COMPTECH COMPUTER TECHNOLOGIES, INC",966345.14
"SUGPIAT DEFENSE, LLC",947185.8200000001
CASO LOGZONE LLC,938168.41
DSTA LLC,928767.25
"MAXIMUS FEDERAL CONSULTING, LLC",902244.05
"GERLING & ASSOCIATES, INC.",849900.0
