Internal Id,Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Code,Place Of Performance Zip5,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Contracting Officer Business Size Determination,Generated Internal Id
127290954,HHSS28342003T,"POLICY RESEARCH ASSOCIATES, INC.",,14850968.3,,NY,,12054,,,,,,,CONT_AWD_HHSS28342003T_7522_HHSS283201200058I_7522
127290827,HHSS283201600001C,EAGLE TECHNOLOGIES INCORPORATED,,116884341.0,,VA,,22209,,,,,,,CONT_AWD_HHSS283201600001C_7522_-NONE-_-NONE-
127278735,HHSP23337037,COMMUNICATIONS TRAINING ANALYSIS CORPORATION,,1486004.9,,VA,,22042,,,,,,,CONT_AWD_HHSP23337037_7570_HHSP233201300007B_7555
127277057,HHSP23337011T,CATHOLIC CHARITIES USA,,2947434.04,,VA,,22314,,,,,,,CONT_AWD_HHSP23337011T_7555_HHSP23320092901YI_7555
127276537,HHSP23337007T,"WALTER R MCDONALD & ASSOCIATES, INC.",,6606000.9,,CA,,95833,,,,,,,CONT_AWD_HHSP23337007T_7570_HHSP233201500042I_7555
127276340,HHSP23337006T,MDRC,,48937498.0,,NY,,10016,,,,,,,CONT_AWD_HHSP23337006T_7570_HHSP233201500059I_7555
127276435,HHSP23337006,"YOUR RECRUITING COMPANY, INC.",,78348.2,,VA,,22030,,,,,,,CONT_AWD_HHSP23337006_7555_HHSP233201300049B_7555
127276090,HHSP23337005T,MDRC,,16879890.16,,NY,,10016,,,,,,,CONT_AWD_HHSP23337005T_7570_HHSP233201500059I_7555
127275809,HHSP23337004T,"MEF ASSOCIATES, LLC",,399441.5,,VA,,22314,,,,,,,CONT_AWD_HHSP23337004T_7570_HHSP233201500077I_7555
127275701,HHSP23337004T,CATHOLIC CHARITIES USA,,1377298.1,,VA,,22314,,,,,,,CONT_AWD_HHSP23337004T_7555_HHSP23320092901YI_7555
127274744,HHSP23337001,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,,165034144.04,,VA,,22102,,,,,,,CONT_AWD_HHSP23337001_7570_HHSP233201800011B_7570
127274735,HHSP23337001,"SEV1TECH, LLC",,39739914.68,,MD,,20852,,,,,,,CONT_AWD_HHSP23337001_7570_HHSP233201700023B_7570
127274032,HHSP233201700269G,CELLCO PARTNERSHIP,,41796.78,,NJ,,07920,,,,,,,CONT_AWD_HHSP233201700269G_7570_GS00Q13NSA3003_4732
127273190,HHSP233201600308G,"FEDERAL MANAGEMENT SYSTEMS, INC.",,2841732.52,,DC,,20001,,,,,,,CONT_AWD_HHSP233201600308G_7570_GS00F035CA_4732
127272668,HHSP233201600089G,"NEWWAVE TELECOM AND TECHNOLOGIES, INC.",,363538.32,,MD,,21001,,,,,,,CONT_AWD_HHSP233201600089G_7555_GS35F152AA_4732
127272446,HHSP233201600017W,"AMENTUM TECHNOLOGY, INC.",,17816945.82,,MD,,20857,,,,,,,CONT_AWD_HHSP233201600017W_7555_HHSN316201200031W_7529
127271475,HHSP233201500043C,"VERA INSTITUTE OF JUSTICE, INC.",,19909843.52,,NY,,10279,,,,,,,CONT_AWD_HHSP233201500043C_7555_-NONE-_-NONE-
127271119,HHSP233201400373G,SECURITAS TECHNOLOGY CORPORATION,,2404187.9,,CA,,93703,,,,,,,CONT_AWD_HHSP233201400373G_7555_GS07F9298S_4730
127269546,HHSP233201300099G,"CONCUR TECHNOLOGIES, INC.",,17552074.95,,MD,,20857,,,,,,,CONT_AWD_HHSP233201300099G_7555_GS33FY0026_4732
127262772,HHSP233200800444G,THE URBAN INSTITUTE,,1569706.0,,DC,,20037,,,,,,,CONT_AWD_HHSP233200800444G_7555_GS23F8198H_4730
127250997,HHSO100201700029C,INBIOS INTERNATIONAL INC,,3894468.0,,WA,,98104,,,,,,,CONT_AWD_HHSO100201700029C_7505_-NONE-_-NONE-
127250980,HHSO100201700020C,REGENERON PHARMACEUTICALS INC,,279610567.9,,NY,,10591,,,,,,,CONT_AWD_HHSO100201700020C_7505_-NONE-_-NONE-
127250968,HHSO100201700016C,REGENERON PHARMACEUTICALS INC,,693056926.67,,NY,,10591,,,,,,,CONT_AWD_HHSO100201700016C_7505_-NONE-_-NONE-
127250910,HHSO100201600038C,HOFFMANN-LA ROCHE INC.,,161994127.86,,NJ,,07424,,,,,,,CONT_AWD_HHSO100201600038C_7505_-NONE-_-NONE-
127250900,HHSO100201600030C,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,,1385742139.1,,MD,,20879,,,,,,,CONT_AWD_HHSO100201600030C_7505_-NONE-_-NONE-
127250885,HHSO100201600021C,"MAPP BIOPHARMACEUTICAL, INC.",,30920844.79,,CA,,92121,,,,,,,CONT_AWD_HHSO100201600021C_7505_-NONE-_-NONE-
127250799,HHSO100201500028G,DELOITTE CONSULTING LLP,,8717326.24,,VA,,22209,,,,,,,CONT_AWD_HHSO100201500028G_7505_GS00F0028Y_4732
127250776,HHSO100201500022C,"FIRST LIGHT DIAGNOSTICS, INC.",,30210479.73,,MA,,01824,,,,,,,CONT_AWD_HHSO100201500022C_7505_-NONE-_-NONE-
127250772,HHSO100201500021C,POLYNOVO BIOMATERIALS PTY LTD,,38882503.85,,,,,,,,,,,CONT_AWD_HHSO100201500021C_7505_-NONE-_-NONE-
127250116,HHSO100200900101C,SEQIRUS INC,,1349853665.0,,MA,,02139,,,,,,,CONT_AWD_HHSO100200900101C_7505_-NONE-_-NONE-
127247057,HHSN31600002,DELOITTE CONSULTING LLP,,468373579.16,,DC,,20201,,,,,,,CONT_AWD_HHSN31600002_7529_HHSN316201200018W_7529
127216590,HHSN292201800017U,WASHINGTON GAS LIGHT COMPANY,,6825140.86,,MD,,20892,,,,,,,CONT_AWD_HHSN292201800017U_7529_GS00P16BSD1206_4740
127216049,HHSN292201400108U,POTOMAC ELECTRIC POWER CO,,168075609.8,,MD,,20892,,,,,,,CONT_AWD_HHSN292201400108U_7529_GS00P10BSD0725_4740
127215897,HHSN292201400014U,"NORESCO, LLC",,15795719.99,,MD,,20892,,,,,,,CONT_AWD_HHSN292201400014U_7529_DEAM3609GO29039_8900
127206233,HHSN29200017,"A&E DESIGN, INC.",,12841.97,,MT,,59840,,,,,,,CONT_AWD_HHSN29200017_7529_HHSN292201400006I_7529
127201032,HHSN276201700034U,"STRATCOMM, INC.",,5749190.19,,MD,,20894,,,,,,,CONT_AWD_HHSN276201700034U_7529_GS02F0105Y_4732
127187253,HHSN27600006,"ONEIDA COMMUNICATIONS, INC.",,136949.35,,MD,,20772,,,,,,,CONT_AWD_HHSN27600006_7529_HHSN276201600003B_7529
127186866,HHSN27600003,"SOFT TECH CONSULTING, INC.",,1460793.81,,MD,,20817,,,,,,,CONT_AWD_HHSN27600003_7529_HHSN276201500004B_7529
127185610,HHSN275201800085P,WATERS CORPORATION,,60223.86,,MA,,01757,,,,,,,CONT_AWD_HHSN275201800085P_7529_-NONE-_-NONE-
127185494,HHSN275201800002C,THE CDM GROUP INC,,7521869.53,,MD,,20814,,,,,,,CONT_AWD_HHSN275201800002C_7529_-NONE-_-NONE-
127184338,HHSN275201700002C,"THE EMMES COMPANY, LLC",,61302267.4,,MD,,20850,,,,,,,CONT_AWD_HHSN275201700002C_7529_-NONE-_-NONE-
127183865,HHSN275201600360P,ND PROPERTIES LLC,,2895293.39,,NY,,10017,,,,,,,CONT_AWD_HHSN275201600360P_7529_-NONE-_-NONE-
127183508,HHSN275201600122U,BOOZ ALLEN HAMILTON INC,,25660552.31,,VA,,22102,,,,,,,CONT_AWD_HHSN275201600122U_7529_GS35F0306J_4730
127181782,HHSN275201300006C,WAYNE STATE UNIVERSITY,,169113978.88,,MI,,48202,,,,,,,CONT_AWD_HHSN275201300006C_7529_-NONE-_-NONE-
127178165,HHSN27500032,FISHER BIOSERVICES INC,,226378.08,,MD,,20850,,,,,,,CONT_AWD_HHSN27500032_7529_HHSN275201400003I_7529
127177890,HHSN27500022,FISHER BIOSERVICES INC,,1000361.15,,MD,,20850,,,,,,,CONT_AWD_HHSN27500022_7529_HHSN275201400003I_7529
127177681,HHSN27500016,FISHER BIOSERVICES INC,,371079.94,,MD,,20850,,,,,,,CONT_AWD_HHSN27500016_7529_HHSN275201400003I_7529
127177644,HHSN27500015,FISHER BIOSERVICES INC,,684312.92,,MD,,20850,,,,,,,CONT_AWD_HHSN27500015_7529_HHSN275201400003I_7529
127177597,HHSN27500014,FISHER BIOSERVICES INC,,516069.52,,MD,,20850,,,,,,,CONT_AWD_HHSN27500014_7529_HHSN275201400003I_7529
127177481,HHSN27500012,FISHER BIOSERVICES INC,,653921.89,,MD,,20850,,,,,,,CONT_AWD_HHSN27500012_7529_HHSN275201400003I_7529
127177363,HHSN27500010,FISHER BIOSERVICES INC,,1934387.76,,MD,,20850,,,,,,,CONT_AWD_HHSN27500010_7529_HHSN275201400003I_7529
127177018,HHSN27500006,FISHER BIOSERVICES INC,,272654.64,,MD,,20850,,,,,,,CONT_AWD_HHSN27500006_7529_HHSN275201400003I_7529
127176799,HHSN27500004,FISHER BIOSERVICES INC,,209712.98,,MD,,20850,,,,,,,CONT_AWD_HHSN27500004_7529_HHSN275201400003I_7529
127176792,HHSN27500004,CINCINNATI UNIV OF,,407133.17,,OH,,45221,,,,,,,CONT_AWD_HHSN27500004_7529_HHSN275201300014I_7529
127176490,HHSN27500002,"SAPIENT GOVERNMENT SERVICES, INC.",,9211826.25,,MA,,02116,,,,,,,CONT_AWD_HHSN27500002_7529_HHSN276201500003B_7529
127176480,HHSN27500002,FISHER BIOSERVICES INC,,6439949.04,,MD,,20850,,,,,,,CONT_AWD_HHSN27500002_7529_HHSN275201400003I_7529
127176272,HHSN27500001,"WESTAT, INC.",,18614250.07,,MD,,20850,,,,,,,CONT_AWD_HHSN27500001_7529_HHSN275201800001I_7529
127176259,HHSN27500001,FISHER BIOSERVICES INC,,804095.95,,MD,,20850,,,,,,,CONT_AWD_HHSN27500001_7529_HHSN275201400003I_7529
127173521,HHSN273201700005C,BATTELLE MEMORIAL INSTITUTE,,28097984.95,,OH,,43201,,,,,,,CONT_AWD_HHSN273201700005C_7529_-NONE-_-NONE-
127173171,HHSN273201600011C,"SOCIAL & SCIENTIFIC SYSTEMS, INC.",,11812261.6,,NC,,27709,,,,,,,CONT_AWD_HHSN273201600011C_7529_-NONE-_-NONE-
127172742,HHSN273201500014C,"EXPERIMENTAL PATHOLOGY LABORATORIES, INC.",,33963232.54,,NC,,27709,,,,,,,CONT_AWD_HHSN273201500014C_7529_-NONE-_-NONE-
127172739,HHSN273201500013C,"INTEGRATED LABORATORY SYSTEMS, LLC",,27139989.26,,NC,,27709,,,,,,,CONT_AWD_HHSN273201500013C_7529_-NONE-_-NONE-
127172736,HHSN273201500012C,"CHARLES RIVER LABORATORIES, INC.",,23409714.38,,NC,,27703,,,,,,,CONT_AWD_HHSN273201500012C_7529_-NONE-_-NONE-
127172730,HHSN273201500010C,"INTEGRATED LABORATORY SYSTEMS, LLC",,40997503.11,,NC,,27709,,,,,,,CONT_AWD_HHSN273201500010C_7529_-NONE-_-NONE-
127172712,HHSN273201500003C,NEDERLANDSE ORGANISATIE VOOR TOEGEPAST-NATUURWETENSCHAPPELIJK ONDERZOEK TNO,,1434385.68,,,,,,,,,,,CONT_AWD_HHSN273201500003C_7529_-NONE-_-NONE-
