Award Id,Recipient Name,Action Date,Award Amount,Piid,Place Of Performance State Code,Place Of Performance City Name,Place Of Performance ZIP Code,Place Of Performance County Name,Product Or Service Code (Psc),Psc Description,Naics Code,Naics Description,Type Of Set Aside,Type Of Set Aside Description,Contracting Officer Business Size Determination,Last Modified Date,Is Small Business,Is 8a Set-Aside
75N96025F00029,FEDPOINT SYSTEMS LLC,2025-09-07,247550.0,75N96025F00029,VA,FAIRFAX,22033,FAIRFAX,R699,SUPPORT- ADMINISTRATIVE: OTHER,541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
75N96025F00011,"BRUKER SPATIAL BIOLOGY, INC.",2025-09-07,20070.0,75N96025F00011,MA,BILLERICA,01821,MIDDLESEX,6505,DRUGS AND BIOLOGICALS,325414,BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING,,,,,False,False
75N96025F00008,AZENTA US INC,2025-09-07,22106.15,75N96025F00008,IN,INDIANAPOLIS,46241,MARION,Q301,REFERENCE LABORATORY TESTING,541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),,,,,False,False
75N96020F00184,"BIO-RAD LABORATORIES, INC.",2025-09-07,-24316.92,75N96020F00184,CA,HERCULES,94547,CONTRA COSTA,6505,DRUGS AND BIOLOGICALS,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,,,,,False,False
75N98025F00006,"FEFA, LLC",2025-09-06,175000.0,75N98025F00006,MD,BETHESDA,20810,MONTGOMERY,R416,SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE,541940,VETERINARY SERVICES,,,,,False,False
75N95A25P00145,"BLACKROCK MICROSYSTEMS, INC",2025-09-06,12700.0,75N95A25P00145,MD,BETHESDA,20892,MONTGOMERY,6640,LABORATORY EQUIPMENT AND SUPPLIES,541380,TESTING LABORATORIES AND SERVICES,,,,,False,False
HHSN273201400020C,MRIGLOBAL,2025-09-05,0.0,HHSN273201400020C,MO,KANSAS CITY,64110,JACKSON,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,,,False,False
75N98024F00232,"REMEDYBIZ, INC.",2025-09-05,857836.8,75N98024F00232,VA,STERLING,20166,LOUDOUN,R499,SUPPORT- PROFESSIONAL: OTHER,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,,,,False,False
75N96025P00104,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,2025-09-05,11000.0,75N96025P00104,NC,DURHAM,27709,DURHAM,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),513210,SOFTWARE PUBLISHERS,,,,,False,False
75N90025F00005,FEDPOINT SYSTEMS LLC,2025-09-05,68500.06,75N90025F00005,VA,FAIRFAX,22033,FAIRFAX,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,541519,OTHER COMPUTER RELATED SERVICES,,,,,False,False
75N99024C00049,MATOS BUILDERS LLC,2025-09-05,2962659.47,75N99024C00049,MD,BETHESDA,20892,MONTGOMERY,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
HHSN27500048,DUKE UNIVERSITY,2025-09-05,-11075.96,HHSN27500048,NC,DURHAM,27705,DURHAM,AN12,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,,,False,False
75N99025P00063,METAL MEN LLC,2025-09-05,4119.4,75N99025P00063,MD,BETHESDA,20892,MONTGOMERY,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
75N98024P02988,BIOMEDICAL RESEARCH ALLIANCE OF NEW YORK LLC,2025-09-05,0.0,75N98024P02988,NY,NEW HYDE PARK,11042,NASSAU,U009,EDUCATION/TRAINING- GENERAL,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
75N94021F00002,DUKE UNIVERSITY,2025-09-05,-1226912.85,75N94021F00002,NC,DURHAM,27705,DURHAM,AN12,HEALTH R&D SERVICES; HEALTH CARE SERVICES; APPLIED RESEARCH,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",,,,,False,False
75N95025P00385,"EVIDENT SCIENTIFIC MIS, INC.",2025-09-05,14404.0,75N95025P00385,MD,BALTIMORE,21224,BALTIMORE CITY,J066,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,621511,MEDICAL LABORATORIES,,,,,False,False
75N99025F00020,CNE-SIGNATURE JV2 LLC,2025-09-05,115283.0,75N99025F00020,MD,BETHESDA,20892,MONTGOMERY,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,,,,,False,False
75N95023P00692,"CCS ASSOCIATES, INC.",2025-09-05,3185.6,75N95023P00692,MD,ROCKVILLE,20852,MONTGOMERY,R499,SUPPORT- PROFESSIONAL: OTHER,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,,,,,False,False
75N95023P00808,"CCS ASSOCIATES, INC.",2025-09-05,31817.6,75N95023P00808,MD,ROCKVILLE,20852,MONTGOMERY,R499,SUPPORT- PROFESSIONAL: OTHER,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
75N94025F00073,GOVERNMENT SCIENTIFIC SOURCE INC,2025-09-05,-49475.08,75N94025F00073,VA,RESTON,20191,FAIRFAX,6550,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,,,,,False,False
75N92025F00004,"10X GENOMICS, INC.",2025-09-05,20731.5,75N92025F00004,CA,PLEASANTON,94588,ALAMEDA,6640,LABORATORY EQUIPMENT AND SUPPLIES,325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,,,,,False,False
75N92025F00005,"10X GENOMICS, INC.",2025-09-05,22028.6,75N92025F00005,CA,PLEASANTON,94588,ALAMEDA,6640,LABORATORY EQUIPMENT AND SUPPLIES,325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,,,,,False,False
75N92025F00154,GOVERNMENT SCIENTIFIC SOURCE INC,2025-09-05,202645.14,75N92025F00154,VA,RESTON,20191,FAIRFAX,6505,DRUGS AND BIOLOGICALS,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,,,,,False,False
75N94025P00569,GOVERNMENT SCIENTIFIC SOURCE INC,2025-09-05,17941.83,75N94025P00569,VA,RESTON,20191,FAIRFAX,6505,DRUGS AND BIOLOGICALS,325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,,,,,False,False
HHSN273201400022C,RESEARCH TRIANGLE INSTITUTE,2025-09-05,0.0,HHSN273201400022C,NC,DURHAM,27709,DURHAM,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,,,False,False
75N98122F00001,ACISTEK LLC,2025-09-05,299408.8,75N98122F00001,VA,CHANTILLY,20152,LOUDOUN,DE01,"IT AND TELECOM - END USER: HELP DESK; TIER 1-2, WORKSPACE, PRINT, OUTPUT, PRODUCTIVITY TOOLS (LABOR)",541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
75N98022F00001,HYGEIA SOLUTIONS PARTNERS LLC,2025-09-05,90536.69,75N98022F00001,VA,FALLS CHURCH,22042,FAIRFAX,R499,SUPPORT- PROFESSIONAL: OTHER,541512,COMPUTER SYSTEMS DESIGN SERVICES,,,,,False,False
75N94025P00579,FEI COMPANY,2025-09-05,20000.0,75N94025P00579,OR,HILLSBORO,97124,WASHINGTON,6640,LABORATORY EQUIPMENT AND SUPPLIES,334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,,,,,False,False
75N92025P00353,OZGENE PTY LTD,2025-09-05,21267.0,75N92025P00353,,,,,8820,"LIVE ANIMALS, NOT RAISED FOR FOOD",112990,ALL OTHER ANIMAL PRODUCTION,,,,,False,False
HHSN272201700371U,"NTT DATA FEDHEALTH, INC.",2025-09-05,-665203.59,HHSN272201700371U,VA,MCLEAN,22102,FAIRFAX,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,,,False,False
75N94019F00354,BOOZ ALLEN HAMILTON INC,2025-09-05,-27290.99,75N94019F00354,VA,MCLEAN,22102,FAIRFAX,R499,SUPPORT- PROFESSIONAL: OTHER,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,,,,False,False
