Recipient Name,Award Amount
BLACK CANYON CONSULTING LLC,60808917.0
"LEIDOS, INC.",59656283.68
LEIDOS BIOMEDICAL RESEARCH INC,52180303.11
HENSEL PHELPS CONSTRUCTION CO,32094093.25
"KELLY SERVICES, INC.",30932086.9
DELOITTE CONSULTING LLP,30237525.98
DLA TROOP SUPPORT,29850000.0
"THE EMMES COMPANY, LLC",27005600.12
"ICF INCORPORATED, L.L.C.",25191452.02
PARAGON SYSTEMS INC,23690370.770000003
"GAP SOLUTIONS, INC.",23015317.12
GUIDEHOUSE DIGITAL LLC,19791757.38
AEP ENERGY INC,19751276.25
"PENOBSCOT HEALTH SERVICES, LLC",17418567.07
DUKE UNIVERSITY,17302535.509999998
"INFORMATION MANAGEMENT SERVICES, INC.",16748214.74
COMPUTERCRAFT CORPORATION,16698815.26
POTOMAC ELECTRIC POWER CO,14859508.18
"OLGOONIK GENERAL, LLC",14528735.88
DYNANET CORPORATION,14479286.07
"AXLE INFORMATICS, LLC",14288025.56
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,13539950.0
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",13342795.27
"SAPIENT GOVERNMENT SERVICES, INC.",12833118.02
"DLH, LLC",12382809.879999999
"WESTAT, INC.",11078752.66
"MEDIDATA SOLUTIONS, INC.",10791148.26
ALPHA GENESIS INC,10701126.99
"CORIELL INSTITUTE FOR MEDICAL RESEARCH, INC.",10685838.0
BOOZ ALLEN HAMILTON INC,10259703.07
LCG SYSTEMS LLC,9821504.08
"PRIORITY ONE SERVICES, INC.",9555123.64
PSYCHOGENICS INC.,9482040.0
"TECHNICAL RESOURCES INTERNATIONAL, INC.",9424077.06
RELI GROUP INC,9329342.53
NATIONAL JEWISH HEALTH,9292344.0
SIEMENS INDUSTRY INC,9245919.24
"NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE, INC.",9036851.57
MICROHEALTH LLC,8974693.0
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",8851901.0
AAC INC.,8046437.52
EMORY UNIVERSITY,7959748.800000001
"YOUR RECRUITING COMPANY, INC.",7811471.13
"EDGEWATER FEDERAL SOLUTIONS, INC.",7696885.12
"GLC ON-THE-GO, INC.",7690502.6
"THUNDERCAT TECHNOLOGY, LLC",7503159.0200000005
"ILLUMINA, INC.",7492788.96
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",7236847.0
"LEXICAL INTELLIGENCE, LLC",7009628.51
"SOCIAL & SCIENTIFIC SYSTEMS, INC.",6977431.87
MPOWER INCORPORATED,6731726.32
"CHIMP HAVEN, INC.",5950680.0
FEDPOINT SYSTEMS LLC,5937116.51
"PRECISION FOR MEDICINE, INC.",5898871.01
CUTLASS CONTRACTING LLC,5870048.2299999995
POLU KAI SERVICES LLC,5708291.7299999995
"EXPERIMENTAL PATHOLOGY LABORATORIES, INC.",5443955.97
T AND T CONSULTING SERVICES INC.,5205100.16
"JOHNSON CONTROLS, INC",5130600.77
"NEW TECH SOLUTIONS, INC.",5051848.24
CHILDREN'S HOSPITAL,4945483.0
SEATTLE CHILDREN'S HOSPITAL,4901576.0
WASHINGTON SUBURBAN SANITARY COMMISSION,4744678.2
"AFFIGENT, LLC",4636689.09
"ANACAPA MICRO PRODUCTS, INC.",4631790.16
PERATON INC.,4613270.55
"JS TECHNOLOGY, INC",4607537.5600000005
"EMERGENT, LLC",4473276.91
"CHARLES RIVER LABORATORIES, INC.",4330841.47
"WGL ENERGY SERVICES, INC.",4313332.55
"INTEGRATED LABORATORY SYSTEMS, LLC",4234247.34
MASAI TECHNOLOGIES CORPORATION,4201694.88
"NTT DATA FEDHEALTH, INC.",4145990.81
SCIENTIFIC CONSULTING GROUP INC,4107945.54
"IMPRES TECHNOLOGY SOLUTIONS, INC",4056147.73
"GARTNER, INC.",4051357.59
SRI INTERNATIONAL,4032630.52
MATOS BUILDERS LLC,3923309.41
GOVERNMENT SCIENTIFIC SOURCE INC,3883332.37
"DIGITAL INFUZION, LLC",3881087.22
NVT TECHNOLOGIES INC,3854087.8499999996
FISHER BIOSERVICES INC,3787265.4000000004
"10X GENOMICS, INC.",3682966.75
"TANTUS TECHNOLOGIES, INC.",3670797.92
TRIPLE POINT SECURITY INC,3519271.84
"LYMPHATECH, INC",3500000.0
FEROMICS INC,3491882.0
"TRITON SYSTEMS, INC.",3488372.0
ENVIGO GLOBAL SERVICES INC,3460520.0
FORS MARSH GROUP LLC,3402759.22
DELOITTE & TOUCHE LLP,3385938.5
"CRESTONE, INC.",3330592.0
ARGO CHASING LLC,3311920.0
"CCS ASSOCIATES, INC.",3303677.2
RESEARCH TRIANGLE INSTITUTE,3257503.92
THE ADMINISTRATORS OF TULANE EDUCATIONAL FUND,3190399.9899999998
SCIOME LLC,3103351.0
"NATIONAL CAPITOL CONTRACTING, LLC",3099195.34
IRON VINE SECURITY LLC,3066064.56
RHO FEDERAL SYSTEMS DIVISION INC,3000000.0
NELSON ENGINEERING CO.,2996575.0
"CONTINUITY BIOSCIENCES, LLC",2995581.0
"WHITING-TURNER CONTRACTING COMPANY, THE",2966581.0
UNISSANT INC.,2948890.0
WASHINGTON GAS LIGHT COMPANY,2946414.36
"MICROBIOTIX, INC.",2938788.0
"UNIVERSITY OF MARYLAND, BALTIMORE",2858704.38
"OMEGA BELT BUILT CONSTRUCTION SERVICES JV, LLC",2834404.64
"DSFEDERAL, INC",2804484.91
"SOFT TECH CONSULTING, INC.",2800390.25
ZAYO GROUP LLC,2780448.0
KNZ SOLUTIONS INC,2762678.85
CYNERGY PROFESSIONAL SYSTEMS LLC,2751686.46
PATRIOT LLC,2720933.98
UNIVERSITY OF CALIFORNIA SAN DIEGO,2678430.0
"TRIPOINT SOLUTIONS, LLC",2651458.8099999996
"EBL ENGINEERS, LLC",2620257.16
"MAYO COLLABORATIVE SERVICES, INC.",2607661.19
AT-IMPACT LLC,2598850.19
CNE-SIGNATURE JV2 LLC,2578875.46
TISTA SCIENCE AND TECHNOLOGY CORPORATION,2563459.9
"RMF ENGINEERING, INC., P.C.",2554008.0
"A P VENTURES, LLC",2548663.0
VANGUARD PACIFIC LLC,2543711.11
"GOVPLACE, LLC",2282463.6999999997
"VERIS GROUP, LLC",2249538.68
"SALIENT CRGT, INC.",2228844.0
ACCESS INTERPRETING INC,2221672.58
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,2219512.7
MARTIN LOYD INC.,2217112.0
"AIRPORT METRO CONNECTION, INC",2209728.24
NORTH AMERICAN ASSOCIATION OF CENTRAL CANCER REGISTRIES INC,2141678.0
ST JUDE CHILDREN'S RESEARCH HOSPITAL INC,2138613.59
BLUE TECH INC.,2137799.8899999997
3D ENVIROLOGICS LLC,2092529.6600000001
MRIGLOBAL,2090142.0
UNISON SOFTWARE INC,2074500.09
"IDOXSOLUTIONS, INC.",2073273.19
FUTREND TECHNOLOGY INC.,2072696.0
"ONEIDA COMMUNICATIONS, INC.",2065700.57
